event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,146.1422641251702,5774,50,0.9890294,1941,3775,1.9945152220129967,2000,2000,0.0,234.3670492466639,115.48,104.96,256
env_step,307.50455066608265,10000,84,0.981,3362,8001,2.394709150791168,2000,2000,,,,,
episode,382.77037466620095,11944,100,0.9773064,4017,9945,2.5879507024884223,2000,2000,0.0,253.9430598844965,123.4,114.56,256
episode,620.2221599582117,17905,150,0.9659805,6023,15906,3.2943287974596025,2000,2000,0.0,243.9485126699845,119.22,109.44,256
env_step,701.9264173749834,20000,167,0.962,6726,18001,3.4792524228394033,2000,2000,,,,,
episode,849.5473649161868,23773,200,0.9548313,7996,21774,3.911128592014313,2000,2000,0.0,238.2571298535394,117.36,104.32,256
episode,1100.3487623331603,29668,250,0.9436308,9976,27669,4.473187386095524,2000,2000,0.0,237.91166917677774,117.9,107.52,256
env_step,1115.6773056250531,30000,253,0.9430000000000001,10087,28001,4.513504396826029,2000,2000,,,,,
episode,1340.8917566251475,35753,300,0.9320693,12019,33754,4.867814375191927,2000,2000,0.0,251.19771622783358,121.7,114.24,256
env_step,1502.4349113330245,40000,335,0.924,13445,38001,5.110093981266021,2000,2000,,,,,
episode,1566.0759275411256,41635,350,0.9208935,13995,39636,5.189913006842136,2000,2000,0.0,238.59660144367427,117.64,108.16,256
episode,1806.6495126660448,47905,400,0.9089805,16100,45906,5.559203213304281,2000,2000,0.0,256.8301058486401,125.4,108.16,256
env_step,1886.4464347911999,50000,416,0.905,16806,48001,5.539801595598459,2000,2000,,,,,
greedy_eval,1886.4475655830465,50000,416,0.905,16806,48001,5.539801595598459,2000,2000,0.0,,141.46,123.68,
episode,2074.979912040988,54243,450,0.8969383,18229,52244,5.70741486749053,2000,2000,0.0,259.4218245496377,126.76,112.64,256
env_step,2297.2544034160674,60000,497,0.886,20166,58001,5.8460750015378,2000,2000,,,,,
episode,2305.6437962912023,60219,500,0.8855839,20241,58220,5.8589554451406,2000,2000,0.0,244.51606667153402,119.52,106.24,256
episode,2538.8871742500924,66331,550,0.8739711,22294,64332,6.0353426266908645,2000,2000,0.0,251.0231203494007,122.24,104.96,256
env_step,2679.590516500175,70000,581,0.867,23529,68001,6.091894291609526,2000,2000,,,,,
episode,2774.0921664580237,72455,600,0.8623355,24353,70456,6.184575488626957,2000,2000,0.0,250.74072369382625,122.48,104.32,256
episode,2989.3639800411183,78040,650,0.851724,26230,76041,6.330679266631603,2000,2000,0.0,224.20136684230735,111.7,98.56,256
env_step,3064.1578506249934,80000,665,0.848,26888,78001,6.367552486985922,2000,2000,,,,,
episode,3218.7121845411602,84113,700,0.8401853,28274,82114,6.390654886454344,2000,2000,0.0,247.08095987989927,121.46,110.72,256
env_step,3440.751550832996,90000,748,0.829,30256,88001,6.378534733504057,2000,2000,,,,,
episode,3448.8898666251916,90218,750,0.8285857999999999,30329,88219,6.404664350450039,2000,2000,0.0,250.85819899398982,122.1,113.28,256
episode,3686.9053647080436,96584,800,0.8164904,32468,94585,6.409522361338139,2000,2000,0.0,263.5953814653898,127.32,121.6,256
env_step,3813.374412750127,100000,826,0.81,33617,98001,6.4584002572596075,2000,2000,,,,,
greedy_eval,3813.375882124994,100000,826,0.81,33617,98001,6.4584002572596075,2000,2000,0.0,,181.22,164.416,
episode,3943.7897702502087,102668,850,0.8049308000000001,34516,100669,6.560095053970814,2000,2000,0.0,249.20988082852236,121.68,108.48,256
episode,4186.654058207991,109110,900,0.792691,36678,107111,6.473485637426377,2000,2000,0.0,266.4531597678459,128.84,115.84,256
env_step,4220.128411500016,110000,904,0.791,36977,108001,6.53102880898118,2000,2000,,,,,
episode,4416.841005416121,115256,950,0.7810136,38745,113257,6.728223853200674,2000,2000,0.0,251.90872547667715,122.92,119.68,256
env_step,4593.437706083059,120000,987,0.772,40341,118001,6.507411961227655,2000,2000,,,,,
episode,4660.171205874998,121782,1000,0.7686142,40940,119783,6.609525382220745,2000,2000,0.0,271.8909996876664,130.52,129.28,512
episode,4876.559155125171,127558,1050,0.7576398,42881,125559,6.71319926187396,2000,2000,0.0,236.14443780789423,115.52,99.84,128
env_step,4968.047599000158,130000,1069,0.753,43699,128001,6.741522211819887,2000,2000,,,,,
episode,5097.909836708102,133484,1100,0.7463804,44874,131485,6.697471401721239,2000,2000,0.0,242.82448367659973,118.52,109.44,256
episode,5327.900161708007,139238,1150,0.7354478,46804,137239,6.717832043647766,2000,2000,0.0,233.13195320714763,115.08,105.6,256
env_step,5358.710086958017,140000,1156,0.734,47060,138001,6.708834790110588,2000,2000,,,,,
episode,5581.167852291139,145258,1200,0.7240098,48826,143259,6.6805059815049175,2000,2000,0.0,246.40335415319717,120.4,105.6,256
env_step,5776.7576502910815,150000,1245,0.7150000000000001,50420,148001,6.661849754154682,2000,2000,,,,,
greedy_eval,5776.758803500095,150000,1245,0.7150000000000001,50420,148001,6.661849754154682,2000,2000,0.0,,216.618,209.632,
episode,5834.281256708084,150574,1250,0.7139093999999999,50613,148575,6.678217688292265,2000,2000,0.0,211.5305749729397,106.32,94.72,256
episode,6073.015844458016,156796,1300,0.7020876,52705,154797,6.557447481304407,2000,2000,0.0,254.95130636380378,124.44,113.28,256
env_step,6194.938341791043,160000,1329,0.696,53783,158001,6.560455503821373,2000,2000,,,,,
episode,6294.253083000192,162630,1350,0.691003,54668,160631,6.613419683083892,2000,2000,0.0,238.46267917685907,116.68,109.44,256
episode,6515.224111791002,168494,1400,0.6798614000000001,56638,166495,6.6017508652806285,2000,2000,0.0,237.46764162283344,117.28,103.68,256
env_step,6577.417593041202,170000,1411,0.677,57145,168001,6.573603155374527,2000,2000,,,,,
episode,6752.581602166174,174494,1450,0.6684614,58658,172495,6.593504809856415,2000,2000,0.0,245.75550086471597,120.0,109.44,256
episode,182.53486420796253,5945,50,0.9887045,1997,3946,1.91821363478899,2000,2000,0.0,242.30415762309622,118.9,103.04,256
env_step,366.2855563329067,10000,83,0.981,3359,8001,2.3118586647212505,2000,2000,,,,,
episode,462.90792766585946,11826,100,0.9775306,3975,9827,2.54557327529788,2000,2000,0.0,240.6200399210462,117.62,107.2,256
episode,753.384876415832,17593,150,0.9665733,5915,15594,3.2835845032930373,2000,2000,0.0,233.384937024706,115.34,106.88,256
env_step,867.66888487502,20000,170,0.962,6724,18001,3.5092160195708275,2000,2000,,,,,
episode,1058.2687842079904,23661,200,0.9550441,7954,21662,3.9170647764503954,2000,2000,0.0,247.13282036136468,121.36,107.52,256
episode,1374.7173576250207,29745,250,0.9434845000000001,9995,27746,4.37152163040638,2000,2000,0.0,246.56756352923173,121.68,112.0,256
env_step,1387.7034679159988,30000,251,0.9430000000000001,10080,28001,4.416663734078408,2000,2000,,,,,
episode,1686.6119104998652,35768,300,0.9320408,12016,33769,4.814959394395351,2000,2000,0.0,245.77624986002343,120.46,113.92,256
env_step,1906.220257207984,40000,336,0.924,13439,38001,5.1683485410809515,2000,2000,,,,,
episode,1994.5177635829896,41700,350,0.92077,14010,39701,5.390424820035696,2000,2000,0.0,239.52742028511565,118.64,103.04,256
episode,2299.320473374799,47582,400,0.9095942,15987,45583,5.581667737662793,2000,2000,0.0,238.94890056214888,117.64,101.76,256
