event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
env_step,58.960193182999774,2010000,45,0.010000000000000009,10000,2007874,2.0435154271423817,2000,2000,,,,,
episode,66.50589796299982,2011290,50,0.010000000000000009,11290,2009164,2.0145117947161197,2000,2000,0.0,519.4170018624606,225.8,212.48,512
env_step,117.91531794999992,2020000,79,0.010000000000000009,20000,2017874,1.8319543693065643,2000,2000,,,,,
episode,154.00952780599982,2026053,100,0.010000000000000009,26053,2023927,2.0540113404393194,2000,2000,0.0,697.0139383835772,295.26,314.88,512
env_step,177.29392297699997,2030000,113,0.010000000000000009,30000,2027874,1.971744806408882,2000,2000,,,,,
env_step,236.94890603099975,2040000,143,0.010000000000000009,40000,2037874,1.958789269000292,2000,2000,,,,,
episode,248.1955670139996,2041875,150,0.010000000000000009,41875,2039749,1.8990592046380044,2000,2000,0.0,750.4010497276165,316.44,320.0,512
env_step,297.21329789699985,2050000,179,0.010000000000000009,50000,2047874,2.0474090068638326,2000,2000,,,,,
episode,340.1897958229997,2057086,200,0.010000000000000009,57086,2054960,2.093589418143034,2000,2000,0.0,722.8743722746383,304.22,307.2,1024
env_step,358.1175287819997,2060000,211,0.010000000000000009,60000,2057874,2.0447720849514006,2000,2000,,,,,
env_step,420.1492373829997,2070000,241,0.010000000000000009,70000,2067874,2.1493581122756003,2000,2000,,,,,
episode,441.45107839799994,2073399,250,0.010000000000000009,73399,2071273,2.2414613389372824,2000,2000,0.0,779.0128846560641,326.26,339.84,1024
env_step,482.984489855,2080000,273,0.010000000000000009,80000,2077874,2.2724893896281717,2000,2000,,,,,
episode,540.327574505,2089136,300,0.010000000000000009,89136,2087010,2.3307782663702965,2000,2000,0.0,746.9479982604051,314.74,318.72,1024
env_step,545.7823227469999,2090000,301,0.010000000000000009,90000,2087874,2.2984470000565054,2000,2000,,,,,
env_step,609.824104543,2100000,327,0.010000000000000009,100000,2097874,2.1731860926151274,2000,2000,,,,,
episode,658.114269785,2107422,350,0.010000000000000009,100000,2105296,2.1614140227437018,2000,2000,0.0,881.0012604239706,365.72,417.28,1024
env_step,674.8615023059997,2110000,355,0.010000000000000009,100000,2107874,2.1344130362868308,2000,2000,,,,,
env_step,738.4950441820001,2120000,391,0.010000000000000009,100000,2117874,2.032698557972908,2000,2000,,,,,
episode,754.5093351650003,2122493,400,0.010000000000000009,100000,2120367,2.1051531497836113,2000,2000,0.0,714.4058812937261,301.42,311.04,1024
env_step,802.7030479799996,2130000,424,0.010000000000000009,100000,2127874,2.0030823832154274,2000,2000,,,,,
episode,860.2085253320001,2138883,450,0.010000000000000009,100000,2136757,1.957083810955286,2000,2000,0.0,782.0484530722628,327.8,384.0,1024
env_step,867.4053594449997,2140000,454,0.010000000000000009,100000,2137874,1.9815518846809863,2000,2000,,,,,
env_step,932.6966052299995,2150000,482,0.010000000000000009,100000,2147874,2.0506790980100633,2000,2000,,,,,
episode,968.7995159120001,2155453,500,0.010000000000000009,100000,2153327,1.9496254899501801,2000,2000,0.0,791.237389030871,331.4,337.92,1024
env_step,998.8812292570001,2160000,512,0.010000000000000009,100000,2157874,1.9322140861451627,2000,2000,,,,,
env_step,1065.068639696,2170000,541,0.010000000000000009,100000,2167874,1.8878038337230683,2000,2000,,,,,
episode,1082.3893387179996,2172618,550,0.010000000000000009,100000,2170492,1.8436518146395684,2000,2000,0.0,821.4426709469382,343.3,363.52,1024
env_step,1131.1436330830002,2180000,569,0.010000000000000009,100000,2177874,1.7827668517827988,2000,2000,,,,,
env_step,1197.2550131569997,2190000,595,0.010000000000000009,100000,2187874,1.6751965543031693,2000,2000,,,,,
episode,1206.952150948,2191466,600,0.010000000000000009,100000,2189340,1.65281011146307,2000,2000,0.0,908.3492106601839,376.96,409.6,1024
env_step,1263.7288382699999,2200000,622,0.010000000000000009,100000,2197874,1.57758958157897,2000,2000,,,,,
env_step,59.93857832999947,2210000,36,0.010000000000000009,10000,2207747,1.3253978792726993,2000,2000,,,,,
episode,80.51208727899939,2213417,50,0.010000000000000009,13417,2211164,1.3118741084486245,2000,2000,0.0,628.1615928974345,268.34,284.48,512
env_step,121.54841169799965,2220000,77,0.010000000000000009,20000,2217747,1.4220272494256496,2000,2000,,,,,
episode,155.90378676299952,2225605,100,0.010000000000000009,25605,2223352,1.5434488080739974,2000,2000,0.0,568.1007760310978,243.76,247.04,1024
env_step,182.7180097269993,2230000,116,0.010000000000000009,30000,2227747,1.5578182508200407,2000,2000,,,,,
env_step,244.1768715929993,2240000,148,0.010000000000000009,40000,2237747,1.6070807282030581,2000,2000,,,,,
episode,248.16220038099982,2240647,150,0.010000000000000009,40647,2238394,1.6316468071490526,2000,2000,0.0,714.409072257915,300.84,298.24,512
env_step,306.26262138699985,2250000,182,0.010000000000000009,50000,2247747,1.6363855590373277,2000,2000,,,,,
episode,334.3039745369997,2254495,200,0.010000000000000009,54495,2252242,1.639431733250618,2000,2000,0.0,654.9773825172177,276.96,274.56,512
env_step,369.1205125309998,2260000,213,0.010000000000000009,60000,2257747,1.6468243030905723,2000,2000,,,,,
episode,427.6939113819999,2269207,250,0.010000000000000009,69207,2266954,1.6026667688041925,2000,2000,0.0,697.3416724789176,294.24,273.28,512
env_step,432.862066742,2270000,252,0.010000000000000009,70000,2267747,1.6354898664802313,2000,2000,,,,,
env_step,498.12150323699916,2280000,291,0.010000000000000009,80000,2277747,1.8144945531785488,2000,2000,,,,,
episode,518.34448178,2283071,300,0.010000000000000009,83071,2280818,1.8191152434498072,2000,2000,0.0,652.7728394760409,277.28,266.24,1024
env_step,564.2948311699993,2290000,319,0.010000000000000009,90000,2287747,1.7761642928868533,2000,2000,,,,,
env_step,630.7455356539995,2300000,349,0.010000000000000009,100000,2297747,1.8216109168827535,2000,2000,,,,,
episode,632.6360443969998,2300283,350,0.010000000000000009,100000,2298030,1.8342734777331353,2000,2000,0.0,827.9744528327756,344.24,359.68,1024
env_step,697.4406199139994,2310000,376,0.010000000000000009,100000,2307747,1.821726767808199,2000,2000,,,,,
episode,759.6471874589997,2319422,400,0.010000000000000009,100000,2317169,1.81011097240448,2000,2000,0.0,928.1932278256804,382.78,408.32,1024
env_step,763.4716398299997,2320000,402,0.010000000000000009,100000,2317747,1.8399249655902385,2000,2000,,,,,
env_step,829.8813122329993,2330000,431,0.010000000000000009,100000,2327747,1.7184564549326897,2000,2000,,,,,
episode,864.7616388039996,2335218,450,0.010000000000000009,100000,2332965,1.7129358600080014,2000,2000,0.0,757.4731782356114,315.92,321.28,1024
