event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,44.001370292156935,206456,50,0.9325577066666667,6456,204330,1.2223577583953738,2000,2000,0.0,265.1162370177287,129.12,121.6,256
env_step,70.0976695001591,210000,78,0.9314,10000,207874,1.314321178354323,2000,2000,,,,,
episode,90.30521154194139,212813,100,0.9304810866666666,12813,210687,1.4846033126562834,2000,2000,0.0,261.4113001624962,127.14,117.12,256
episode,136.11999033298343,219236,150,0.9283829066666667,19236,217110,1.5786327556073665,2000,2000,0.0,266.0761417676626,128.46,119.68,256
env_step,141.29685162496753,220000,156,0.9281333333333334,20000,217874,1.5891255618184805,2000,2000,,,,,
episode,172.57208629208617,225099,200,0.92646766,25099,222973,1.622852251186967,2000,2000,0.0,238.75684917024435,117.26,108.16,256
env_step,205.70155899995007,230000,240,0.9248666666666667,30000,227874,1.6826092792898417,2000,2000,,,,,
episode,212.78912512515672,230987,250,0.9245442466666667,30987,228861,1.7446432349681855,2000,2000,0.0,238.1722283714388,117.76,106.24,256
episode,257.4539020000957,236830,300,0.9226355333333334,36830,234704,1.8062705557346344,2000,2000,0.0,236.50583916879432,116.86,98.56,256
env_step,282.425639500143,240000,324,0.9216,40000,237874,1.8413384690880776,2000,2000,,,,,
episode,306.16426216694526,243058,350,0.9206010533333333,43058,240932,1.9409010681807994,2000,2000,0.0,256.0205461372004,124.56,115.84,256
episode,352.20230737514794,249432,400,0.91851888,49432,247306,1.959642484307289,2000,2000,0.0,264.2569927534577,127.48,122.56,256
env_step,356.20172966714017,250000,404,0.9183333333333333,50000,247874,1.9588943399339915,2000,2000,,,,,
episode,395.19496704195626,255591,450,0.91650694,55591,253465,1.9855064793378114,2000,2000,0.0,251.03291061704874,123.18,112.64,256
env_step,424.6999885831028,260000,490,0.9150666666666667,60000,257874,2.1120928054600956,2000,2000,,,,,
episode,433.5201610419899,261274,500,0.9146504933333334,61274,259148,2.1386755830049515,2000,2000,0.0,230.41020864899423,113.66,100.48,256
episode,475.08562200004235,267070,550,0.9127571333333333,67070,264944,2.18199274353683,2000,2000,0.0,235.50573613502195,115.92,108.8,256
env_step,494.8579892080743,270000,574,0.9117999999999999,70000,267874,2.1453548645526173,2000,2000,,,,,
episode,516.176630458096,273146,600,0.9107723066666666,73146,271020,2.0927795970588923,2000,2000,0.0,247.2655612823022,121.52,114.88,256
episode,557.41066112509,279156,650,0.90880904,79156,277030,2.162502831041813,2000,2000,0.0,246.96484688518152,120.2,113.28,256
env_step,563.7824469581246,280000,656,0.9085333333333333,80000,277874,2.1799035522639754,2000,2000,,,,,
episode,603.7308214581572,285397,700,0.9067703133333334,85397,283271,2.2155121693611144,2000,2000,0.0,256.13308792016073,124.82,118.4,256
env_step,637.1759790419601,290000,740,0.9052666666666667,90000,287874,2.1363174117058517,2000,2000,,,,,
episode,644.7860167080071,291021,750,0.90493314,91021,288895,2.1635104080438614,2000,2000,0.0,226.68859565571455,112.48,99.84,256
episode,685.2566596250981,296932,800,0.9030022133333333,96932,294806,2.1767346243560315,2000,2000,0.0,241.94440608135287,118.22,108.16,256
env_step,706.1906452919357,300000,821,0.902,100000,297874,2.3201384794712068,2000,2000,,,,,
greedy_eval,706.1913247499615,300000,821,0.902,100000,297874,2.3201384794712068,2000,2000,0.0,,121.433,104.592,
episode,764.104947749991,303264,850,0.90093376,100000,301138,2.267000849366188,2000,2000,0.0,261.0130284735607,126.64,110.72,256
env_step,811.1997192499693,310000,897,0.8987333333333334,100000,307874,2.471412303864956,2000,2000,,,,,
episode,813.4850382080767,310335,900,0.8986239,100000,308209,2.4719603198766706,2000,2000,0.0,295.91041089623485,141.42,138.88,256
episode,854.6470413750503,316059,950,0.89675406,100000,313933,2.1830949444174768,2000,2000,0.0,231.40771207708892,114.48,98.56,256
env_step,881.5877563329414,320000,983,0.8954666666666666,100000,317874,2.2767476670891047,2000,2000,,,,,
episode,892.9219188750722,321645,1000,0.8949293,100000,319519,2.2145890683233738,2000,2000,0.0,224.83754071619128,111.72,100.8,256
episode,931.2860655421391,327195,1050,0.8931163,100000,325069,2.297875666230917,2000,2000,0.0,225.48217477885214,111.0,98.56,256
env_step,950.6876954170875,330000,1070,0.8922,100000,327874,2.3652572808116674,2000,2000,,,,,
episode,974.1065481251571,333397,1100,0.8910903133333333,100000,331271,2.241253800690174,2000,2000,0.0,253.56591231897394,124.04,122.24,256
episode,1018.6196831669658,339842,1150,0.8889849466666666,100000,337716,2.3535687173455955,2000,2000,0.0,267.8968049859295,128.9,116.48,256
env_step,1019.7348733751569,340000,1150,0.8889333333333334,100000,337874,2.340560525357723,2000,2000,,,,,
episode,1059.7563958750106,345655,1200,0.8870860333333334,100000,343529,2.3454347471147776,2000,2000,0.0,236.20331827224038,116.26,107.52,256
env_step,1091.727850333089,350000,1236,0.8856666666666667,100000,347874,2.3389613482952116,2000,2000,,,,,
episode,1106.1904874581378,351747,1250,0.88509598,100000,349621,2.2940009578019382,2000,2000,0.0,250.92224749499925,121.84,115.2,256
episode,1155.3709858329967,357716,1300,0.8831461066666667,100000,355590,2.239205795034766,2000,2000,0.0,243.52157025321915,119.38,108.8,256
env_step,1173.9278441669885,360000,1319,0.8824,100000,357874,2.354489582270384,2000,2000,,,,,
episode,1204.099490124965,363769,1350,0.8811687933333333,100000,361643,2.393805634856224,2000,2000,0.0,246.81651959555566,121.06,112.64,256
episode,1246.747133166995,369410,1400,0.8793260666666667,100000,367284,2.4679700853675604,2000,2000,0.0,226.82271106130875,112.82,99.2,256
env_step,1250.792948125163,370000,1405,0.8791333333333333,100000,367874,2.470677606344223,2000,2000,,,,,
episode,1290.3719360420946,375415,1450,0.8773644333333334,100000,373289,2.4722800737023354,2000,2000,0.0,243.92254712091716,120.1,104.32,256
env_step,1324.455380458152,380000,1489,0.8758666666666667,100000,377874,2.4113785350173713,2000,2000,,,,,
episode,1332.3708515421022,381185,1500,0.8754795666666667,100000,379059,2.4000263353586195,2000,2000,0.0,233.28870039048377,115.4,104.32,256
episode,1374.0647166250274,386942,1550,0.8735989466666667,100000,384816,2.512005524799228,2000,2000,0.0,232.88229268119548,115.14,102.4,256
env_step,1396.4257272500545,390000,1577,0.8726,100000,387874,2.4075781892985106,2000,2000,,,,,
episode,1419.966910792049,392879,1600,0.8716595266666667,100000,390753,2.421286671221256,2000,2000,0.0,241.20691789980566,118.74,108.16,256
episode,1463.8077266670298,398732,1650,0.8697475466666666,100000,396606,2.513387440145016,2000,2000,0.0,237.43839319574477,117.06,110.72,256
env_step,1473.290349042043,400000,1660,0.8693333333333333,100000,397874,2.594910673111677,2000,2000,,,,,
greedy_eval,1473.2907821671106,400000,1660,0.8693333333333333,100000,397874,2.594910673111677,2000,2000,0.0,,128.758,114.304,
episode,1545.2605923330411,404576,1700,0.8678385066666667,100000,402450,2.6015723583847286,2000,2000,0.0,236.05344391164735,116.88,103.04,256
env_step,1585.7023553331383,410000,1747,0.8660666666666667,100000,407874,2.540811904236674,2000,2000,,,,,
episode,1588.3477526251227,410369,1750,0.8659461266666667,100000,408243,2.569811841264367,2000,2000,0.0,234.77576810483427,115.86,107.52,256
episode,1629.0849055419676,416281,1800,0.8640148733333333,100000,414155,2.528670883342624,2000,2000,0.0,241.2952712267098,118.24,104.96,256
env_step,1654.439386208076,420000,1830,0.8628,100000,417874,2.4595176166445016,2000,2000,,,,,
episode,1669.1650964999571,422083,1850,0.8621195533333333,100000,419957,2.3634304689466954,2000,2000,0.0,236.07551727310522,116.04,99.84,256
episode,1708.4392404169776,427661,1900,0.8602974066666667,100000,425535,2.3261663405299187,2000,2000,0.0,225.05901419081098,111.56,95.36,256
env_step,1725.4133057920262,430000,1918,0.8595333333333333,100000,427874,2.381036421492696,2000,2000,,,,,
episode,1751.5626715831459,433917,1950,0.8582537800000001,100000,431791,2.353840375095606,2000,2000,0.0,258.8760492459371,125.12,118.4,256
env_step,1790.577088833088,440000,1996,0.8562666666666667,100000,437874,2.3822510434538127,2000,2000,,,,,
