event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,29.887434625066817,5833,50,0.9889173,5833,3834,0.3941560787856579,2000,2000,0.0,234.29280467296203,116.66,104.96,256
env_step,60.209457375109196,10000,83,0.981,10000,8001,0.5012325846925377,2000,2000,,,,,
episode,75.36134941712953,12159,100,0.9768979,12159,10160,0.547108819372952,2000,2000,0.0,259.9743153442585,126.52,122.24,256
episode,126.17533887503669,18307,150,0.9652167,18307,16308,0.6153661098405718,2000,2000,0.0,251.9830584606776,122.96,113.28,256
env_step,138.65270804194734,20000,163,0.962,20000,18001,0.6637439209073782,2000,2000,,,,,
episode,168.24269012501463,23904,200,0.9545824,23904,21905,0.7243908957690001,2000,2000,0.0,226.23764166800456,111.94,100.16,256
env_step,220.55559008405544,30000,248,0.9430000000000001,30000,28001,0.890519400820136,2000,2000,,,,,
episode,222.1870505840052,30086,250,0.9428366,30086,28087,0.8976505764424801,2000,2000,0.0,252.6949664663172,123.64,112.32,256
episode,267.80973816709593,36088,300,0.9314328000000001,36088,34089,1.047846060693264,2000,2000,0.0,245.0091305396164,120.04,105.6,256
env_step,297.54265754204243,40000,329,0.924,40000,38001,0.9874284787476063,2000,2000,,,,,
episode,312.5620249591302,42057,350,0.9200917,42057,40058,1.1623442065566778,2000,2000,0.0,243.4046440417003,119.38,108.8,256
episode,361.82561562513,47997,400,0.9088057,47997,45998,1.1682009205669164,2000,2000,0.0,240.8367715108686,118.8,110.72,256
env_step,377.67859979206696,50000,417,0.905,50000,48001,1.227592156007886,2000,2000,,,,,
episode,408.6654022091534,54160,450,0.897096,54160,52161,1.2663304632753134,2000,2000,0.0,252.65573651726174,123.26,106.24,256
env_step,454.90491345897317,60000,495,0.886,60000,58001,1.3218061707466842,2000,2000,,,,,
episode,458.8225745840464,60470,500,0.885107,60470,58471,1.3091859315484762,2000,2000,0.0,261.1544540714695,126.2,113.92,256
episode,506.7100890839938,66257,550,0.8741117,66257,64258,1.6468138566911221,2000,2000,0.0,235.10539244572595,115.74,103.68,256
env_step,537.288503334159,70000,576,0.867,70000,68001,1.4361631093025207,2000,2000,,,,,
episode,559.3766989170108,72658,600,0.8619498,72658,70659,1.627661202684045,2000,2000,0.0,263.583695930394,128.02,122.88,256
